Command,Symbol,Package,Group 1,Typeset,Grouped,To LaTeX Only,Common,Shorthand,Comment
%,%,,,,,yes,,,
#,#,,,,,yes,,,
$,$,,,,,yes,,,
&,&,,,,,yes,,,
|,‖,,,,,,,,
{,{,,,,yes,yes,,,
},},,,,yes,yes,,,
adots,⋰,,,,,,,,
aleph,ℵ,,hebrew,,,,,,
alpha,α,,greek,,,,yes,,
Alpha,Α,,greek,,,,,,
angle,∠,,,,,,,,
approx,≈,,equality-like,,,,yes,,
arccos,arccos,,,,,yes,,,
arccot,arccot,,,,,yes,,,
arccsc,arccsc,,,,,yes,,,
arcsec,arcsec,,,,,yes,,,
arcsin,arcsin,,,,,yes,,,
arctan,arctan,,,,,yes,,,
ast,∗,,,,,,,,
backslash,\,,set notation,,,yes,,,set difference
bagmember,⋿,,,,,,,,
because,∵,,,,,,,,
beta,β,,greek,,,,,,
Beta,Β,,greek,,,,,,
beth,ℶ,,hebrew,,,,,,
bigcap,⋂,,,yes,,,,,
bigcup,⋃,,,yes,,,,,
blacksquare,■,,,,,,,QED,
blacktriangleright,‣,,,,,,,,
bot,⊥,,,,,,,,
bowtie,⋈,,,,,,,,
box,□,,,,,,,,
bumpeq,≏,,,,,,,,
cap,∩,,set notation,,,,,,
cbrt,∛,,,yes,,,,,
cdot,⋅,,,,,,yes,,
cdots,⋯,,,,,,,,
cent,¢,,,,,,,,
checkmark,✓,,,,,,,,
chi,χ,,greek,,,,,,
Chi,Χ,,greek,,,,,,
circ,∘,,,,,,,,
Colon,∷,,,,,,,,
complement,∁,,,,,,,,
cong,≅,,,,,,,,
coprod,∐,,,yes,,,,,
copyright,©,,,,,,,,
cos,cos,,,,,yes,,,
cot,cot,,,,,yes,,,
csc,csc,,,,,yes,,,
cup,∪,,set notation,,,,,,
cupdot,⊍,,set notation,,,,,,
dagger,†,,,,,,,,
daleth,ℸ ,,hebrew,,,,,,
ddagger,‡,,,,,,,,
ddots,⋱,,,,,,,,
delta,δ,,greek,,,,,,
Delta,Δ,,greek,,,,,,
det,det,,,,,yes,,,
diameter,⌀,,,,,,,,
dicei,⚀,,dice,,,,,,
diceii,⚁,,dice,,,,,,
diceiii,⚂,,dice,,,,,,
diceiv,⚃,,dice,,,,,,
dicev,⚄,,dice,,,,,,
dicevi,⚅,,dice,,,,,,
digamma,ϝ,,,,,,,,archaic greek letter
Digamma,Ϝ,,,,,,,,archaic greek letter
div,÷,,binary operator,,,,yes,,
doteq,≐,,equality-like,,,,,,
dottedsquare,⬚,,,,,,,,
downarrow,↓,,arrows,,,,,,
emptyset,∅,,set notation,,,,,,
epsilon,ϵ,,greek,,,,,,
Epsilon,Ε,,greek,,,,,,
eightnote,♪,,,,,,,,
eqcolon,∹,,,,,,,,
eqdef,≝,,equality-like,,,,,,
equiv,≡,,equality-like,,,,yes,,
Equiv,≣,,equality-like,,,,,,
errbarsquare,⧮,,,,,,,errbar,
eta,η,,greek,,,,,,
Eta,Η,,greek,,,,,,
Euler,ℇ,,,,,,,,Euler constant
euro,€,,,,,,,,
Exclam,‼,,,,,,,,
exists,∃,,,,,,,,
exp,exp,,,,,yes,,,
flat,♭,,,,,,,,
forall,∀,,,,,,yes,,
fourth,⁗,,,,,,,,
frownie,☹,,,,,,,,
gamma,γ,,greek,,,,yes,,
Gamma,Γ,,greek,,,,yes,,
geq,≥,,,,,,,,
geqq,≧,,,,,,,,
gg,≫,,,,,,,,
ggg,⋙,,,,,,,,
gimel,ℷ ,,hebrew,,,,,,
hat{},^,,,,,yes,,,
Im,ℑ,,,,,,,,imaginary part
imath,ⅈ,,,,,,,,
implies,⇒,,,,,,yes,,
in,∈,,set notation,,,,yes,,
increment,∆,,,,,,yes,incr,
infty,∞,,,,,,yes,,
int,∫,,,yes,,,yes,,
iint,∬,,,yes,,,,,
iiint,∭,,,yes,,,,,
iota,ι,,greek,,,,,,
Iota,Ι,,greek,,,,,,
jmath,ⅉ,,,,,,,,
kappa,κ,,greek,,,,,,
Kappa,Κ,,greek,,,,,,
lambda,λ,,greek,,,,yes,,
Lambda,Λ,,greek,,,,,,
land,∧,,binary operator,,,,,,
langle,⟨,,,,yes,,,,
lceil,⌈,,,,yes,,,,
leftarrow,←,,arrows,,,,,,
Leftarrow,⇐,,arrows,,,,,,
leftrightarrow,↔,,arrows,,,,,,
Leftrightarrow,⇔,,arrows,,,,,,
leq,≤,,,,,,yes,,
leqq,≦,,,,,,,,
lfloor,⌊,,,,yes,,,,
lim,lim,,,,,yes,,,
ln,ln,,,,,yes,,,
ll,≪,,,,,,,,
llangle,⟪,,,,yes,,,,
llbracket,⟦,,,,yes,,,,
lll,⋘,,,,,,,,
log,log,,,,,yes,,,
lor,∨,,binary operator,,,,,,
ltimes,⋉,,,,,,,,
maltese,✠,,,,,,,,
mapsto,↦,,arrows,,,,,,
mathbb{0},𝟘,amssymb,,,,,,0,
mathbb{1},𝟙,amssymb,,,,,,1,
mathbb{2},𝟚,amssymb,,,,,,2,
mathbb{3},𝟛,amssymb,,,,,,3,
mathbb{4},𝟜,amssymb,,,,,,4,
mathbb{5},𝟝,amssymb,,,,,,5,
mathbb{6},𝟞,amssymb,,,,,,6,
mathbb{7},𝟟,amssymb,,,,,,7,
mathbb{8},𝟠,amssymb,,,,,,8,
mathbb{9},𝟡,amssymb,,,,,,9,
mathbb{B},𝔹,amssymb,,,,,,B,boolean domain / ball
mathbb{C},ℂ,amssymb,,,,,,C,set of complex numbers
mathbb{d},ⅆ,amssymb,,,,,,d,differential
mathbb{D},𝔻,amssymb,,,,,,D,
mathbb{e},ℯ,amssymb,,,,,,e,ⅇ
mathbb{E},𝔼,amssymb,,,,,,E,Expected value
mathbb{F},𝔽,amssymb,,,,,,F,
mathbb{H},ℍ,amssymb,,,,,,H,Set of quaternions
mathbb{J},𝕁,amssymb,,,,,,J,
mathbb{N},ℕ,amssymb,,,,,,N,Set of natural numbers
mathbb{O},𝕆,amssymb,,,,,,O,Set of octonions
mathbb{P},ℙ,amssymb,,,,,,P,Set of prime numbers
mathbb{Q},ℚ,amssymb,,,,,,Q,Set of rational numbers
mathbb{R},ℝ,amssymb,,,,,yes,R,Set of real numbers
mathbb{S},𝕊,amssymb,,,,,,S,
mathbb{T},𝕋,amssymb,,,,,,T,
mathbb{U},𝕌,amssymb,,,,,,U,
mathbb{Z},ℤ,amssymb,,,,,yes,Z,Set of integer numbers
mathfrak{c},𝔠,,,,,,,,cardinality
mathscr{H},ℋ,mathrsfs,,,,,,ham,Hamiltonian
mathscr{L},ℒ,mathrsfs,,,,,,lag,Lagrangian
mathsterling,£,,,,,,,,
mathyen,¥,,,,,,,,
max,max,,,,,yes,,,
measuredangle,∡,,,,,,,,
mho,℧,,,,,,,,conductance
min,min,,,,,yes,,,
mp,∓,,binary operator,,,,yes,,
mu,μ,,greek,,,,,,
Mu,Μ,,greek,,,,,,
nabla,∇,,,,,,yes,,
napprox,≉,,equality-like,,,,,,
natural,♮,,,,,,,,
ncong,≇ ,,,,,,,,
ne,≠,,,,,,yes,,
neg,¬,,,,,,,,
neq,≠,,equality-like,,,,yes,,
nequiv,≢,,equality-like,,,,,,
nexists,∄,,,,,,,,
ngtr,≯,,,,,,,,
ni,∋,,set notation,,,,,,
nless,≮,,,,,,,,
nmid,∤,,,,,,,,
nni,∌,,set notation,,,,,,
nsubset,⊄,,set notation,,,,,,
nsubseteq,⊈,,set notation,,,,,,
nsupset,⊅,,set notation,,,,,,
nsupseteq,⊉,,set notation,,,,,,
notin,∉,,set notation,,,,,,
nu,ν,,greek,,,,,,
Nu,Ν,,greek,,,,,,
odot,⨀,,binary operator,,,,,,
oint,∮ ,,,yes,,,,,
oiint,∯,,,yes,,,,,
oiiint,∰ ,,,yes,,,,,
omega,ω,,greek,,,,yes,,
Omega,Ω,,greek,,,,,,
ominus,⊖,,binary operator,,,,,,
omicron,ο,,greek,,,,,,
Omicron,Ο,,greek,,,,,,
oplus,⊕,,binary operator,,,,,,
oslash,⊘,,binary operator,,,,,,
otimes,⊗,,binary operator,,,,,,
P,¶ ,,,,,,,,
partial,∂,,common,,,,yes,,
perp,⊥,,,,,,,,
phi,ϕ,,greek,,,,yes,,
Phi,Φ,,greek,,,,,,
pi,π,,greek,,,,yes,,
Pi,Π,,greek,,,,,,
Planckconst,ℎ,,,,,,,,
pm,±,,binary operator,,,,yes,,
prec,≺,,,,,,,,
prime,′,,,,,,,,
prod,∏,,,yes,,,,,
propto,∝,,,,,,,,
psi,ψ,,greek,,,,yes,,
Psi,Ψ,,greek,,,,,,
qdrt,∜,,,yes,,,,,
qoppa,ϙ,,,,,,,,archaic greek letter
Qoppa,Ϙ,,,,,,,,archaic greek letter
quarternote,♩,,,,,,,,
questeq,≟,,,,,,,,
rangle,⟩,,,,yes,,,,
rceil,⌉,,,,yes,,,,
Re,ℜ,,,,,,,,real part
rfloor,⌋,,,,yes,,,,
rho,ρ,,greek,,,,yes,,
Rho,Ρ,,greek,,,,,,
rightangle,∟,,,,,,,,
rightarrow,→,,arrows,,,,yes,,
Rightarrow,⇒,,arrows,,,,yes,,
rightleftarrows,⇄,,arrows,,,,,,
rrangle,⟫,,,,yes,,,,
rrbracket,⟧,,,,,,,,
rtimes,⋊,,,,,,,,
sec,sec,,,,,yes,,,
second,″,,,,,,,,
sharp,♯,,,,,,,,
shuffle,⧢,,,,,,,,
sigma,σ,,greek,,,,yes,,
Sigma,Σ,,greek,,,,,,
sim,~,,,,,yes,,,
sin,sin,,,,,yes,,,
sinewave,∿,,,,,,,,
sphericalangle,∢,,,,,,,,
sqcap,⊓,,,,,,,,
sqcup,⊔ ,,,,,,,,
sqsubset,⊏ ,,,,,,,,
sqsubseteq,⊑,,,,,,,,
sqsupset,⊐,,,,,,,,
sqsupseteq,⊒,,,,,,,,
sqrt,√,,,yes,,,yes,,
subset,⊂,,set notation,,,,yes,,
Subset,⋐ ,,set notation,,,,,,
subsetcirc,⟃,,set notation,,,,,,
subseteq,⊆,,set notation,,,,yes,,
succ,≻,,,,,,,,
sum,∑,,,yes,,,yes,,
supset,⊃,,set notation,,,,,,
supsetcirc,⟄,,set notation,,,,,,
supseteq,⊇,,set notation,,,,,,
tan,tan,,,,,yes,,,
tau,τ,,greek,,,,,,
Tau,Τ,,greek,,,,,,
textregistered,®,,,,,,,,
textsuperscript{TM},™,,,,,,,TM,
therefore,∴,,,,,,,,
thermod,⧧,,,,,,,,
theta,θ,,greek,,,,yes,,
Theta,Θ,,greek,,,,,,
third,‴,,,,,,,,
times,×,,operator,,,,,,
to,→,,,,,,,,
top,⊤,,,,,,,,
triangleleft,◅,,,,,,,,
triangleright,▻,,,,,,,,
triangleq,≜,,equality-like,,,,,,
twonotes,♫,,,,,,,,
underline,_,,,,,yes,,,
uparrow,↑,,arrows,,,,,,
updownarrow,↕,,arrows,,,,,,
uplus,⊎,,set notation,,,,,,
upsilon,υ,,greek,,,,,,
Upsilon,Υ,,greek,,,,,,
varepsilon,ε,,greek,,,,,,
varkappa,ϰ,,greek,,,,,,
varphi,φ,,greek,,,,,,
varpi,ϖ,,greek,,,,,,
varrho,ϱ,,greek,,,,,,
varsigma,ς,,greek,,,,,,
vartheta,ϑ,,greek,,,,,,
varTheta,ϴ,,greek,,,,,,
vcentcolon=,≔,,equality-like,,,,yes,ceqdef,
vdash,⊢,,,,,,,,
vDash,⊧,,,,,,,,
vdots,⋮,,,,,,,,
vee,∨,,,,,,,,
veebar,⊻,,,,,,,,
warning,⚠,,,,,,,,
wedge,∧,,,,,,,,
wp,℘,,,,,,,,Weierstrass p
wr,≀,,,,,,,,
xi,ξ,,greek,,,,,,
Xi,Ξ,,greek,,,,,,
Zbar,Ƶ,,,,,,,,impedance
zeta,ζ,,greek,,,,,,
Zeta,Ζ,,greek,,,,,,
